iter	Passed	Remaining
291	1154	2799
292	1158	2795
293	1162	2791
294	1166	2787
295	1169	2781
296	1173	2777
297	1177	2773
298	1181	2770
299	1185	2765
300	1188	2760
301	1192	2756
302	1196	2751
303	1199	2746
304	1203	2741
305	1210	2745
306	1214	2741
307	1217	2735
308	1221	2731
309	1225	2728
310	1230	2725
311	1234	2721
312	1238	2719
313	1242	2714
314	1246	2709
315	1249	2705
316	1254	2703
317	1258	2698
318	1261	2693
319	1265	2689
320	1269	2685
321	1273	2681
322	1277	2677
323	1281	2672
324	1285	2670
325	1289	2665
326	1292	2660
327	1296	2655
328	1299	2650
329	1304	2647
330	1307	2643
331	1311	2638
332	1314	2633
333	1319	2630
334	1322	2626
335	1326	2621
336	1330	2616
337	1333	2612
338	1337	2607
339	1340	2602
340	1344	2598
341	1348	2594
342	1352	2589
343	1355	2585
344	1359	2581
345	1363	2578
346	1368	2575
347	1371	2570
348	1375	2566
349	1379	2561
350	1384	2560
351	1388	2556
352	1392	2552
353	1399	2553
354	1403	2549
355	1407	2546
356	1412	2543
357	1417	2542
358	1421	2538
359	1425	2534
360	1430	2532
361	1434	2528
362	1438	2524
363	1441	2519
364	1447	2518
365	1451	2513
366	1454	2508
367	1457	2503
368	1463	2501
369	1466	2497
370	1470	2492
371	1473	2486
372	1477	2483
373	1481	2478
374	1484	2474
375	1488	2469
376	1493	2467
377	1497	2463
378	1501	2459
379	1504	2454
380	1509	2451
381	1512	2447
382	1516	2442
383	1519	2436
384	1523	2433
385	1527	2429
386	1530	2424
387	1535	2422
388	1539	2418
389	1543	2414
390	1546	2408
391	1549	2403
392	1554	2400
393	1558	2397
394	1561	2391
395	1565	2387
396	1568	2383
397	1573	2380
398	1577	2375
399	1580	2371
400	1584	2366
401	1588	2362
402	1592	2358
403	1595	2353
404	1599	2349
405	1602	2343
406	1606	2340
407	1609	2335
408	1613	2331
409	1616	2326
410	1621	2323
411	1624	2318
412	1628	2314
413	1631	2309
414	1635	2305
415	1639	2302
416	1643	2298
417	1646	2293
418	1650	2289
419	1654	2284
420	1658	2280
421	1662	2277
422	1666	2273
423	1670	2268
424	1674	2265
425	1677	2260
426	1681	2255
427	1686	2253
428	1690	2249
429	1693	2244
430	1696	2240
431	1701	2237
432	1705	2233
433	1709	2228
434	1712	2224
435	1716	2220
436	1720	2216
437	1723	2211
438	1726	2206
439	1730	2202
440	1734	2199
441	1738	2194
442	1741	2189
443	1744	2184
444	1748	2180
445	1751	2176
446	1755	2171
447	1758	2166
448	1761	2161
449	1765	2158
450	1769	2153
451	1772	2149
452	1776	2144
453	1780	2141
454	1784	2137
455	1787	2132
456	1790	2127
457	1796	2126
458	1800	2122
459	1804	2117
460	1808	2114
461	1812	2111
462	1817	2107
463	1820	2103
464	1825	2099
465	1830	2097
466	1834	2093
467	1838	2089
468	1841	2085
469	1845	2081
470	1849	2077
471	1853	2073
472	1857	2069
473	1862	2066
474	1865	2061
475	1869	2057
476	1872	2053
477	1878	2051
478	1881	2046
479	1884	2041
480	1888	2037
481	1892	2034
482	1896	2029
483	1899	2024
484	1902	2020
485	1905	2015
486	1909	2011
487	1913	2007
488	1917	2003
489	1920	1998
490	1924	1994
491	1928	1991
492	1931	1986
493	1934	1981
494	1937	1977
495	1941	1973
496	1945	1968
497	1948	1964
498	1951	1959
499	1955	1955
500	1959	1951
501	1962	1946
502	1965	1941
503	1968	1937
504	1973	1934
505	1976	1929
506	1979	1924
507	1982	1920
508	1986	1916
509	1990	1911
510	1993	1907
511	1996	1902
512	1999	1898
513	2005	1895
514	2008	1891
515	2011	1886
516	2014	1882
517	2018	1878
518	2021	1873
519	2025	1869
520	2028	1864
521	2031	1860
522	2036	1857
523	2039	1852
524	2042	1848
525	2046	1843
526	2049	1839
527	2053	1835
528	2056	1830
529	2059	1826
530	2062	1822
531	2067	1818
532	2070	1814
533	2073	1809
534	2076	1805
535	2079	1800
536	2084	1796
537	2087	1792
538	2090	1788
539	2094	1783
540	2097	1779
541	2101	1776
542	2105	1772
543	2108	1767
544	2111	1763
545	2115	1759
546	2118	1754
547	2122	1750
548	2125	1746
549	2128	1741
550	2132	1737
551	2135	1733
552	2138	1728
553	2141	1724
554	2145	1720
555	2149	1716
556	2152	1711
557	2156	1707
558	2159	1703
559	2163	1699
560	2167	1696
561	2171	1692
562	2174	1687
563	2179	1684
564	2183	1680
565	2186	1676
566	2189	1672
567	2193	1668
568	2197	1664
569	2201	1660
570	2204	1656
571	2207	1651
572	2211	1648
573	2215	1644
574	2218	1639
575	2221	1635
576	2225	1631
577	2229	1627
578	2233	1623
579	2236	1619
580	2240	1615
581	2244	1611
582	2247	1607
583	2250	1603
584	2254	1599
585	2259	1596
586	2263	1592
587	2266	1588
588	2270	1584
589	2275	1581
590	2279	1577
591	2283	1574
592	2287	1570
593	2292	1567
594	2296	1563
595	2300	1559
596	2305	1556
597	2309	1552
598	2313	1548
599	2316	1544
600	2320	1540
601	2324	1536
602	2327	1532
603	2331	1528
604	2334	1523
605	2338	1520
606	2341	1516
607	2345	1512
608	2348	1508
609	2352	1504
610	2356	1500
611	2359	1496
612	2363	1491
613	2366	1487
614	2370	1484
615	2374	1479
616	2377	1475
617	2380	1471
618	2384	1467
619	2387	1463
620	2391	1459
621	2394	1455
622	2397	1450
623	2401	1447
624	2405	1443
625	2408	1439
626	2411	1434
627	2414	1430
628	2418	1426
629	2422	1422
630	2425	1418
631	2428	1414
632	2432	1410
633	2437	1406
634	2441	1403
635	2445	1399
636	2449	1396
637	2453	1392
638	2456	1387
639	2459	1383
640	2463	1379
641	2467	1376
642	2470	1371
643	2473	1367
644	2476	1363
645	2481	1359
646	2484	1355
647	2488	1351
648	2491	1347
649	2494	1343
650	2498	1339
651	2501	1335
652	2504	1330
653	2507	1326
654	2511	1323
655	2515	1319
656	2518	1315
657	2522	1310
658	2525	1306
659	2529	1302
660	2532	1298
661	2535	1294
662	2539	1290
663	2542	1286
664	2547	1283
665	2550	1279
666	2553	1274
667	2556	1270
668	2564	1268
669	2567	1264
670	2570	1260
671	2574	1256
672	2579	1253
673	2582	1249
674	2585	1245
675	2589	1240
676	2593	1237
677	2596	1233
678	2599	1228
679	2602	1224
680	2605	1220
681	2610	1217
682	2613	1212
683	2616	1209
684	2620	1204
685	2623	1200
686	2627	1196
687	2630	1193
688	2634	1188
689	2637	1184
690	2641	1181
691	2645	1177
692	2649	1173
693	2653	1169
694	2657	1166
695	2662	1162
696	2665	1158
697	2669	1154
698	2673	1151
699	2676	1147
700	2679	1143
701	2682	1138
702	2685	1134
703	2690	1131
704	2694	1127
705	2697	1123
706	2701	1119
707	2706	1116
708	2710	1112
709	2714	1108
710	2718	1105
711	2723	1101
712	2728	1098
713	2732	1094
714	2738	1091
715	2742	1087
716	2745	1083
717	2750	1080
718	2755	1076
719	2759	1073
720	2762	1069
721	2766	1065
722	2770	1061
723	2773	1057
724	2776	1053
725	2780	1049
726	2785	1045
727	2788	1041
728	2791	1037
729	2794	1033
730	2798	1029
731	2801	1025
732	2805	1021
733	2808	1017
734	2811	1013
735	2815	1009
736	2818	1005
737	2822	1001
738	2825	997
739	2828	993
740	2833	990
741	2836	986
742	2839	982
743	2843	978
744	2847	974
745	2851	970
746	2855	967
747	2858	963
748	2862	959
749	2866	955
750	2869	951
751	2872	947
752	2875	943
753	2879	939
754	2883	935
755	2886	931
756	2890	927
757	2893	923
758	2897	919
759	2900	915
760	2903	911
761	2906	907
762	2910	903
763	2913	900
764	2917	896
765	2920	892
766	2923	888
767	2928	884
768	2932	880
769	2935	876
770	2938	872
771	2943	869
772	2946	865
773	2949	861
774	2953	857
775	2956	853
776	2960	849
777	2963	845
778	2967	841
779	2970	837
780	2973	833
781	2977	829
782	2980	825
783	2983	822
784	2987	818
785	2991	814
786	2994	810
787	2997	806
788	3001	802
789	3005	799
790	3010	795
791	3014	791
792	3017	787
793	3022	784
794	3026	780
795	3030	776
796	3033	772
797	3037	768
798	3041	765
799	3045	761
800	3048	757
801	3053	753
802	3057	750
803	3061	746
804	3064	742
805	3067	738
806	3072	734
807	3076	730
808	3079	727
809	3083	723
810	3088	719
811	3091	715
812	3095	711
813	3098	708
814	3104	704
815	3107	700
816	3111	696
817	3114	692
818	3120	689
819	3124	685
820	3128	682
821	3134	678
822	3138	675
823	3142	671
824	3146	667
825	3151	663
826	3155	660
827	3159	656
828	3163	652
829	3168	648
830	3172	645
831	3176	641
832	3180	637
833	3184	633
834	3187	629
835	3191	626
836	3195	622
837	3199	618
838	3203	614
839	3206	610
840	3210	607
841	3215	603
842	3218	599
843	3222	595
844	3225	591
845	3230	588
846	3233	584
847	3237	580
848	3240	576
849	3244	572
850	3247	568
851	3251	564
852	3254	560
853	3257	556
854	3261	553
855	3264	549
856	3268	545
857	3271	541
858	3275	537
859	3279	533
860	3282	529
861	3286	526
862	3289	522
863	3293	518
864	3297	514
865	3301	510
866	3304	506
867	3309	503
868	3313	499
869	3316	495
870	3319	491
871	3323	487
872	3327	484
873	3330	480
874	3333	476
875	3337	472
876	3342	468
877	3345	464
878	3348	460
879	3351	457
880	3355	453
881	3359	449
882	3363	445
883	3366	441
884	3369	437
885	3374	434
886	3377	430
887	3380	426
888	3384	422
889	3388	418
890	3391	414
891	3394	411
892	3397	407
893	3401	403
894	3406	399
895	3409	395
896	3412	391
897	3415	387
898	3419	384
899	3422	380
900	3425	376
901	3429	372
902	3432	368
903	3436	364
904	3440	361
905	3443	357
906	3447	353
907	3452	349
908	3456	346
909	3459	342
910	3463	338
911	3466	334
912	3470	330
913	3473	326
914	3477	323
915	3480	319
916	3484	315
917	3487	311
918	3491	307
919	3494	303
920	3498	300
921	3502	296
922	3506	292
923	3509	288
924	3512	284
925	3516	281
926	3520	277
927	3523	273
928	3527	269
929	3530	265
930	3534	261
931	3537	258
932	3541	254
933	3544	250
934	3548	246
935	3551	242
936	3555	239
937	3558	235
938	3562	231
939	3566	227
940	3569	223
941	3573	220
942	3576	216
943	3581	212
944	3585	208
945	3588	204
946	3591	201
947	3596	197
948	3600	193
949	3604	189
950	3607	185
951	3613	182
952	3617	178
953	3621	174
954	3627	170
955	3632	167
956	3636	163
957	3644	159
958	3649	156
959	3652	152
960	3657	148
961	3662	144
962	3666	140
963	3670	137
964	3674	133
965	3678	129
966	3682	125
967	3686	121
968	3690	118
969	3694	114
970	3697	110
971	3700	106
972	3704	102
973	3709	99
974	3713	95
975	3716	91
976	3719	87
977	3724	83
978	3727	79
979	3731	76
980	3734	72
981	3738	68
982	3742	64
983	3745	60
984	3748	57
985	3751	53
986	3755	49
987	3759	45
988	3762	41
989	3766	38
990	3769	34
991	3773	30
992	3776	26
993	3780	22
994	3783	19
995	3787	15
996	3791	11
997	3794	7
998	3797	3
999	3801	0
