iter	Logloss
0	0.6329245319
1	0.5778963904
2	0.5263405764
3	0.4814723024
4	0.4396169114
5	0.4023898223
6	0.3682711226
7	0.3377092715
8	0.3085423034
9	0.2837291922
10	0.2602972796
11	0.2385281843
12	0.2200367575
13	0.2019234739
14	0.1864173244
15	0.1714798459
16	0.1584364105
17	0.1464884945
18	0.1355902152
19	0.1258270998
20	0.1175315389
21	0.1088482699
22	0.09938824685
23	0.09320782172
24	0.08627900567
25	0.0806614511
26	0.07415211561
27	0.06994295675
28	0.0662111056
29	0.06267251073
30	0.05823422144
31	0.05507191139
32	0.05233718481
33	0.04961879721
34	0.04711054054
35	0.04445191258
36	0.042250924
37	0.03964634104
38	0.03755685171
39	0.03577552718
40	0.03424979921
41	0.03284230909
42	0.03116492248
43	0.03005016969
44	0.02849630943
45	0.02725219135
46	0.02625748166
47	0.02504405872
48	0.02423493746
49	0.02349496313
50	0.02246429941
51	0.02169110555
52	0.02083064716
53	0.02024989132
54	0.01945347486
55	0.01896625753
56	0.01858295296
57	0.01822933141
58	0.01764434655
59	0.01737205588
60	0.01676190704
61	0.01645991856
62	0.01622511492
63	0.01592581951
64	0.01546615589
65	0.01528994588
66	0.01505218429
67	0.01465728322
68	0.01455922863
69	0.01444125564
70	0.01436614546
71	0.01417501552
72	0.01404170383
73	0.01390349726
74	0.01373607674
75	0.01363193758
76	0.01349357712
77	0.0133393867
78	0.01321704708
79	0.01308240365
80	0.01272368154
81	0.01246274026
82	0.01220777555
83	0.01208449187
84	0.01197486519
85	0.0119077795
86	0.01169386642
87	0.01161192368
88	0.01141323462
89	0.01130845549
90	0.01103791828
91	0.01098068598
92	0.01086371476
93	0.01082101249
94	0.01075127811
95	0.01069522514
96	0.01050169362
97	0.01025113771
98	0.01002437852
99	0.009964496059
100	0.00988113575
101	0.009767130607
102	0.009697558253
103	0.009609602698
104	0.00952685277
105	0.009466616658
106	0.00938376315
107	0.009325495055
108	0.009260421765
109	0.009181202429
110	0.008971977826
111	0.008805697421
112	0.008761053034
113	0.008667458297
114	0.008532526328
115	0.008447623419
116	0.008355089636
117	0.008274713166
118	0.008170568083
119	0.008113583638
120	0.007960175247
121	0.007885582231
122	0.007827723276
123	0.007796072239
124	0.007742192969
125	0.007677551755
126	0.00761609636
127	0.007560435518
128	0.007493929867
129	0.007432857718
130	0.007385238369
131	0.007324368201
132	0.007293064896
133	0.007250112559
134	0.007180011948
135	0.007157589873
136	0.007101253542
137	0.007070699711
138	0.006901459883
139	0.006849209036
140	0.006802313267
141	0.006631189765
142	0.006575401667
143	0.006551255728
144	0.006500187172
145	0.006473175771
146	0.006416810585
147	0.006393860254
148	0.006360685853
149	0.006321678428
150	0.006278432368
151	0.006147694643
152	0.006119317468
153	0.006074620181
154	0.006030903573
155	0.005992341171
156	0.005956928706
157	0.005921406372
158	0.005889691337
159	0.005870537577
160	0.005837322854
161	0.005821431118
162	0.005787691467
163	0.005745712041
164	0.005722868618
165	0.005689545876
166	0.005617221998
167	0.005585142214
168	0.005554711199
169	0.005530600773
170	0.005510853278
171	0.00548044002
172	0.005445848055
173	0.00542050429
174	0.005359108084
175	0.005244640901
176	0.005208484141
177	0.005116548531
178	0.005080558978
179	0.005041858963
180	0.005020690575
181	0.004947159251
182	0.004905786507
183	0.00487711154
184	0.004865382234
185	0.004842886174
186	0.004818602252
187	0.004793849261
188	0.004780364647
189	0.004757644411
190	0.004729630875
191	0.004707590196
192	0.00468425255
193	0.004660605274
194	0.004637700814
195	0.004623241439
196	0.004600500487
197	0.004551674064
198	0.004523329073
199	0.004509108671
200	0.004482728368
201	0.00446016979
202	0.004440121913
203	0.004371514331
204	0.004356279958
205	0.004345659326
206	0.004326500016
207	0.004296407115
208	0.004276230134
209	0.004257138521
210	0.004235324978
211	0.004219349638
212	0.004202990684
213	0.004178898015
214	0.004163541195
215	0.004142344692
216	0.004117485532
217	0.004095553612
218	0.004003874732
219	0.003987317496
220	0.00396079514
221	0.003949363256
222	0.003937244785
223	0.003919750151
224	0.00390778853
225	0.003891737726
226	0.003880114219
227	0.003858723873
228	0.003832655789
229	0.003825195082
230	0.003813104356
231	0.003799930481
232	0.003784346525
233	0.003734983706
234	0.003716510243
235	0.003695613382
236	0.003682364411
237	0.003664451759
238	0.003629371859
239	0.003612183896
240	0.003583370206
241	0.003572930099
242	0.003561696126
243	0.00352320364
244	0.003501074549
245	0.003463195404
246	0.003442015918
247	0.003421314379
248	0.00341416959
249	0.003402862001
250	0.003392672335
251	0.003380667063
252	0.003363233837
253	0.003347258498
254	0.003334387594
255	0.003324295588
256	0.003282384599
257	0.003270121856
258	0.003255254821
259	0.003205763267
260	0.003181030993
261	0.003168337284
262	0.003149444693
263	0.003133453446
264	0.003093007926
265	0.003073768342
266	0.003065734801
